NULL	141	2024-10-23 00:00:00.000	2024-10-23 06:45:58.000	DS-K1A802MF-120181117V010102END62063131	141	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	34	2024-10-23 00:00:00.000	2024-10-23 06:56:36.000	DS-K1A802MF-120181117V010102END62063131	34	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	2	2024-10-23 00:00:00.000	2024-10-23 07:08:08.000	DS-K1A802MF-120181117V010102END62063131	2	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	145	2024-10-23 00:00:00.000	2024-10-23 07:15:08.000	DS-K1A802MF-120181117V010102END62063131	145	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	887	2024-10-23 00:00:00.000	2024-10-23 07:15:57.000	DS-K1A802MF-120181117V010102END62063131	887	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	68	2024-10-23 00:00:00.000	2024-10-23 07:17:12.000	DS-K1A802MF-120181117V010102END62063131	68	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	116	2024-10-23 00:00:00.000	2024-10-23 07:17:18.000	DS-K1A802MF-120181117V010102END62063131	116	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	20001	2024-10-23 00:00:00.000	2024-10-23 07:17:31.000	DS-K1A802MF-120181117V010102END62063131	20001	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	500	2024-10-23 00:00:00.000	2024-10-23 07:17:44.000	DS-K1A802MF-120181117V010102END62063131	500	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	777	2024-10-23 00:00:00.000	2024-10-23 07:17:58.000	DS-K1A802MF-120181117V010102END62063131	777	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	52	2024-10-23 00:00:00.000	2024-10-23 07:18:31.000	DS-K1A802MF-120181117V010102END62063131	52	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	200011	2024-10-23 00:00:00.000	2024-10-23 07:18:36.000	DS-K1A802MF-120181117V010102END62063131	200011	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	64	2024-10-23 00:00:00.000	2024-10-23 07:19:05.000	DS-K1A802MF-120181117V010102END62063131	64	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	20009	2024-10-23 00:00:00.000	2024-10-23 07:19:44.000	DS-K1A802MF-120181117V010102END62063131	20009	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	1761	2024-10-23 00:00:00.000	2024-10-23 07:20:00.000	DS-K1A802MF-120181117V010102END62063131	1761	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	9	2024-10-23 00:00:00.000	2024-10-23 07:20:05.000	DS-K1A802MF-120181117V010102END62063131	9	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	999	2024-10-23 00:00:00.000	2024-10-23 07:20:12.000	DS-K1A802MF-120181117V010102END62063131	999	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	2000	2024-10-23 00:00:00.000	2024-10-23 07:21:38.000	DS-K1A802MF-120181117V010102END62063131	2000	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	25	2024-10-23 00:00:00.000	2024-10-23 07:22:41.000	DS-K1A802MF-120181117V010102END62063131	25	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	93	2024-10-23 00:00:00.000	2024-10-23 07:23:24.000	DS-K1A802MF-120181117V010102END62063131	93	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	67	2024-10-23 00:00:00.000	2024-10-23 07:23:30.000	DS-K1A802MF-120181117V010102END62063131	67	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	20000	2024-10-23 00:00:00.000	2024-10-23 07:23:51.000	DS-K1A802MF-120181117V010102END62063131	20000	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	25062401	2024-10-23 00:00:00.000	2024-10-23 07:25:07.000	DS-K1A802MF-120181117V010102END62063131	25062401	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	109	2024-10-23 00:00:00.000	2024-10-23 07:25:13.000	DS-K1A802MF-120181117V010102END62063131	109	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	240403	2024-10-23 00:00:00.000	2024-10-23 07:25:18.000	DS-K1A802MF-120181117V010102END62063131	240403	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	74	2024-10-23 00:00:00.000	2024-10-23 07:25:32.000	DS-K1A802MF-120181117V010102END62063131	74	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	115	2024-10-23 00:00:00.000	2024-10-23 07:27:17.000	DS-K1A802MF-120181117V010102END62063131	115	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	20005	2024-10-23 00:00:00.000	2024-10-23 07:27:57.000	DS-K1A802MF-120181117V010102END62063131	20005	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	200	2024-10-23 00:00:00.000	2024-10-23 07:27:59.000	DS-K1A802MF-120181117V010102END62063131	200	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	164	2024-10-23 00:00:00.000	2024-10-23 07:31:06.000	DS-K1A802MF-120181117V010102END62063131	164	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	20007	2024-10-23 00:00:00.000	2024-10-23 07:31:10.000	DS-K1A802MF-120181117V010102END62063131	20007	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	4444	2024-10-23 00:00:00.000	2024-10-23 07:31:17.000	DS-K1A802MF-120181117V010102END62063131	4444	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	166	2024-10-23 00:00:00.000	2024-10-23 07:31:21.000	DS-K1A802MF-120181117V010102END62063131	166	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	158	2024-10-23 00:00:00.000	2024-10-23 07:31:26.000	DS-K1A802MF-120181117V010102END62063131	158	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	26	2024-10-23 00:00:00.000	2024-10-23 07:31:29.000	DS-K1A802MF-120181117V010102END62063131	26	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	159	2024-10-23 00:00:00.000	2024-10-23 07:31:34.000	DS-K1A802MF-120181117V010102END62063131	159	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	24062414	2024-10-23 00:00:00.000	2024-10-23 07:31:41.000	DS-K1A802MF-120181117V010102END62063131	24062414	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	105	2024-10-23 00:00:00.000	2024-10-23 07:31:52.000	DS-K1A802MF-120181117V010102END62063131	105	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	146	2024-10-23 00:00:00.000	2024-10-23 07:32:14.000	DS-K1A802MF-120181117V010102END62063131	146	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	91	2024-10-23 00:00:00.000	2024-10-23 07:34:59.000	DS-K1A802MF-120181117V010102END62063131	91	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	69	2024-10-23 00:00:00.000	2024-10-23 07:36:26.000	DS-K1A802MF-120181117V010102END62063131	69	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	111	2024-10-23 00:00:00.000	2024-10-23 07:51:00.000	DS-K1A802MF-120181117V010102END62063131	111	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	9999	2024-10-23 00:00:00.000	2024-10-23 07:54:01.000	DS-K1A802MF-120181117V010102END62063131	9999	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	40	2024-10-23 00:00:00.000	2024-10-23 08:37:01.000	DS-K1A802MF-120181117V010102END62063131	40	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	887	2024-10-23 00:00:00.000	2024-10-23 16:31:00.000	DS-K1A802MF-120181117V010102END62063131	887	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	93	2024-10-23 00:00:00.000	2024-10-23 16:31:07.000	DS-K1A802MF-120181117V010102END62063131	93	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	25	2024-10-23 00:00:00.000	2024-10-23 16:32:12.000	DS-K1A802MF-120181117V010102END62063131	25	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	116	2024-10-23 00:00:00.000	2024-10-23 16:32:18.000	DS-K1A802MF-120181117V010102END62063131	116	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	116	2024-10-23 00:00:00.000	2024-10-23 16:32:21.000	DS-K1A802MF-120181117V010102END62063131	116	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	170	2024-10-23 00:00:00.000	2024-10-23 16:32:51.000	DS-K1A802MF-120181117V010102END62063131	170	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	142	2024-10-23 00:00:00.000	2024-10-23 16:32:55.000	DS-K1A802MF-120181117V010102END62063131	142	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	2	2024-10-23 00:00:00.000	2024-10-23 16:32:58.000	DS-K1A802MF-120181117V010102END62063131	2	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	2	2024-10-23 00:00:00.000	2024-10-23 16:33:00.000	DS-K1A802MF-120181117V010102END62063131	2	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	200	2024-10-23 00:00:00.000	2024-10-23 16:34:20.000	DS-K1A802MF-120181117V010102END62063131	200	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	115	2024-10-23 00:00:00.000	2024-10-23 16:34:24.000	DS-K1A802MF-120181117V010102END62063131	115	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	109	2024-10-23 00:00:00.000	2024-10-23 16:36:46.000	DS-K1A802MF-120181117V010102END62063131	109	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	110	2024-10-23 00:00:00.000	2024-10-23 16:36:52.000	DS-K1A802MF-120181117V010102END62063131	110	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	111	2024-10-23 00:00:00.000	2024-10-23 16:36:55.000	DS-K1A802MF-120181117V010102END62063131	111	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
NULL	67	2024-10-23 00:00:00.000	2024-10-23 16:38:15.000	DS-K1A802MF-120181117V010102END62063131	67	NULL	In	MayChamCong	NULL	NULL	admin	2024-10-29 08:58:22.433
